video_id,author,text,like_count,published_at,source_channel,video_title
te4V1vw2pRY,@kuroichi395,ngk ada audio Jack apakah masih all rounder 😢,0,2026-01-23T16:30:55Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@adityarachman1179,"Jir 3 jtan udah layar lengkung taun lalu dl gw beli redmi note 14 pro 5g layar lengkung 4,99 jt 😢",0,2026-02-02T04:47:17Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Noenoe_khan_Official,Bang bahas Oppo Reno 15 pro max,0,2026-01-23T02:19:22Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Riko6119,Tumben gak bareng bang Chris om 😅,0,2026-01-22T14:40:49Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@TiudanTiudan,Yg redmi note 15 pro y bang ...,0,2026-01-22T15:03:39Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@SepuhMugiwaraPirates,"Kingfinix siap"" note 60 nih rilis",0,2026-01-23T09:13:22Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@racingchanel1086,Nunggu versi poco nya,0,2026-01-23T12:52:43Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@inventer-m2s,"Bagus, balik lgi ke layar rasio 19,5 :9.., soalnya 20:9 keatas kepanjangan gk enak mata",0,2026-01-23T01:09:48Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Asy2102,Bahas yg pro nya dong om dedy,0,2026-01-22T14:05:10Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@danielhary2811,Harganya naik 500rb an di versi ram storage yg sama dibanding redmi note 14 5g tahun lalu. Sampe2 ada lg versi storage 128gb biar harganya tetap menarik.,0,2026-01-22T10:05:24Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@arykurniawan5637,Seri foco apakah ada iklan juga ???,0,2026-01-25T14:56:07Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@jauhjauh8131,"Gak lama dari ini keluar poco seri X, apakah desain nya sama...",0,2026-01-26T05:50:21Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@nengamoy4398,Liat baner ditoko2 dimalaysia harganya mulai dr RM.800 sampe Rm.1700 ada yg ramny 6.8..😅,0,2026-01-22T11:26:39Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Febriabit,"Emng pasar mnta layar curve
Hedeeh",0,2026-01-23T10:24:26Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@stuart9498,"untung layarnya ga gede"" banget",0,2026-01-23T07:12:12Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@DwiSulantari,Gak jadi perang as samaChina ? Harga hp stabil,1,2026-01-22T09:29:49Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@doraexplorer8331,"Kok kayanya info yg gw dapet beda ya, apa beda tipe biasa vs pro? Seingetnya ada ip rating + gitu",0,2026-01-22T12:07:51Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@VirgiawanRiztanto,Bjirr Snapdragon 6:v,0,2026-01-22T23:54:15Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@ahmadi4236,Mahal2 masih ada iklan😅,0,2026-01-22T11:32:13Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@NEO-Crfaft,Iqoo z9x sama kah chipset nya sama dia?,0,2026-01-22T11:15:53Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@SuperRiosaga,"Nungguin seri note tp kecewa SM desain kameranya, ambil pova curve 5g aja deh",0,2026-01-22T12:11:35Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@18.JoseAlvrederickHartono,Perkiraan Poco m8 pro kapan keluar ya ?,0,2026-01-22T10:48:43Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@edi9967,Curve!!!!,0,2026-01-23T21:22:27Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@irwanputra3258,"Poco seri X kapan launc bang.....?
Masih pakai poco X3 pro.
😁😁",0,2026-01-22T14:15:44Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@enonng,Ini harganya sama kah kayak moto g57??,0,2026-01-23T03:12:35Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@dutalenta,"7:36 ada iklannya, ada iklannya,.ada iklannya ! 😂",10,2026-01-23T12:49:46Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@aizulirik8901,Masih setia dengan Xiaomi 14t 🙂,0,2026-01-22T13:19:59Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@noefvon,duh sayang layar curved,0,2026-01-22T10:51:59Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@a-mwalkerbrb,"Gara² RAM naik, slot micro-sd balik lagi😂😂",1,2026-01-23T02:24:24Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@kucingngakgarong,"bukan nya layar 6,77 inch?",0,2026-02-06T03:40:51Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@ZyctrixH,djavu poco x7,2,2026-01-22T09:59:43Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@yozhiuniverse7,nontonnya ini pke Redmi Note 14 5G 🗿,0,2026-01-22T12:24:03Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@muhammadsyafaatsahir7203,"micro sd barusan bed ada wkwkw, efek ram kah?",0,2026-01-22T12:31:25Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@adebimatara9481,Harga ya naik drastis efek inflasi ram naik,0,2026-01-22T12:25:38Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@indrasyahputra8175,Kotak kemasannya kembali ke warna dulu kah?,0,2026-01-22T09:47:26Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@opikroman737,"Lah ko layarnya curved, susah cari tempered glass yg murah 😅",0,2026-01-25T03:57:39Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@edimujono2535,keren,0,2026-01-24T08:05:48Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Gaspek-m4s,"harga naek ,keknya efek memory",0,2026-01-25T10:49:22Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@anjaz_mico,"backdor nya keinget infinix zero ,🤪

lebih keinget lagi redmi a3 🤪 desain kurleb sama cuma beda spek",0,2026-01-23T00:29:06Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@rightleft1995,Koq jadi mahal gini ..kalo beli di toko offline  hampir 4 jutaan ini kyak nya,0,2026-01-23T01:50:29Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Gamer_Indonesia17,7:41 iklan apa iklan om dedi 😅,0,2026-01-22T11:30:13Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
te4V1vw2pRY,@Nick_on_YouTube,Lbh ok redmi note 15 pro 12/512 atau poco x7 pro? Makasih,0,2026-01-22T10:37:16Z,Jagat Review,"Smartphone 3 Jutaan Desain Keren, Body Tipis, dan All Rounder dari Redmi! Review Redmi Note 15 5G"
